Merchants,Descriptions
SAFEWAY,LUCERNE MILK WHOLE
Sugar Sugar Hawaii,Knitty Critters - Pouch Pals - Eddy The Bear Crochet Kit Knitty Critters - Pouch Pals - Popcorn The Bunny Crochet Kit Paper Bag ($0.15)
Foodland,SPRAY ROSES LINDT MILK CHOC
Halal Gyro Kabob House,#18. Lamb Salad
Walmart,GV CF LG F EZEKIEL F
LILIHA BAKERY PEARL CITY,Poi Donut Coco Puff Green Tea Puff
Walmart,LOCK BOX
Walmart,PREP PROD CH F GV CHK MOZZ F
Walmart,KETTLE POPCORN DOG SNACKS CHK NDL SOUP POT RST SOUP TUNA SPAM LNCH MT DL BAR 8CT BENADRYL GOLDBEARS SR GLDBRS NORI
DRIVER LICENSE HAWAII KA,CHASE VISA
Walmart,DOLE JCE SEASONED SF CANDY SF CANDY KETCHUP
BEN FRANKLIN CRAFTS #05575,LAUHALA MAT
COSTCO WHOLESALE,MASHD POTATO WHOLE MILK PINEAPPLE SPRING MIX KS BAGS MASSAMAN BEEF BULGOGI
Walmart,SF CANDY FC PB 6CT FC PB 6CT
WHOLE FOODS,365WFM OG ITALIAN BAG 365WFM BREADED CALAMARI OVF OG UHT WHOLE MLK 365WFM PECAN HALVES
The Counter,Classic Choc Fries & Sweets K-Mini Burgers Beef 1/3 Glass of Water Diet Coke
PHO 777,Total
Foodland,SALMON FILLET FF CHX BL SL THGH =TF SHRED LETTUCE PC KFT F/MEX 4-CHS PC =KR SHRED MOZZRLLAPC KFT SHRD ITAL 5CHSPC OM FC BACON PC 93/7 GRND BF BRICKPC CHALL CANOLA OIL PC LCL POKE AHI PC LCL AHI CAL ROLL PPC LCL AHI MAUI POKE PC LCL FLOUR TORT PC ROSARITA REFRIED BPC =BUSH BLACK BEANS PC  @ 3.59 /lb WT =APPLE ENVY PC
ROSS DRESS FOR LESS,120Z BLUE PREMIUM 12x11.3x4.75 Acac
BEN FRANKLIN CRAFTS #05614 (3),TRAVEL SEWING KIT SLAM DUNK BUBBLE GUM
H MART,KABOCHA MINT
Store 215 Dir Dane Elder,OYSTER SAUCE 180Z QRT CK LEMON NY STYLE GRND PORK GREEN CABBAGE REDUCED BANANAS
Store  Jamie DePrizio,BEEF LIVER SLICED
Dunkin',Grill Chz Sourdough 2WChdChz 1AmrChz 2pc Bagel Minis Plain Sm Ice Orig Latte
University of Hawaii - Manoa Bookstore,LABCOAT UNISEX L WHITE GOGGLES SAFETY GREEN
Foodland,FOUNTAIN DRNK AMB BENTO SPCY CKN
