,Merchants,KNN Prediction
0,SAFEWAY,grocery
1,Sugar Sugar Hawaii,grocery
2,Foodland,grocery
3,Halal Gyro Kabob House,food
4,Walmart,clothing
5,LILIHA BAKERY PEARL CITY,food
6,Walmart,home
7,Walmart,grocery
8,Walmart,grocery
9,DRIVER LICENSE HAWAII KA,entertainment
10,Walmart,grocery
11,BEN FRANKLIN CRAFTS #05575,home
12,COSTCO WHOLESALE,grocery
13,Walmart,grocery
14,WHOLE FOODS,grocery
15,The Counter,food
16,PHO 777,food
17,Foodland,grocery
18,ROSS DRESS FOR LESS,clothing
19,BEN FRANKLIN CRAFTS #05614 (3),entertainment
20,H MART,grocery
21,Store 215 Dir Dane Elder,grocery
22,Store  Jamie DePrizio,grocery
23,Dunkin',food
24,University of Hawaii - Manoa Bookstore,clothing
25,Foodland,grocery
26,SAFEWAY,grocery
27,Minit,health
28,SAFEWAY,grocery
29,SAFEWAY,grocery
30,Daiso,home
31,SAFEWAY,grocery
32,Kahala,grocery
33,Dunkin',grocery
34,Dunkin Donuts,food
35,WHOLE FOODS,health
36,SAFEWAY O,grocery
37,Grain Exchange,grocery
38,SAFEWAY,grocery
39,Dunkin,food
40,Longs,health
41,WHOLE FOODS,grocery
42,ROSS DRESS FOR LESS,clothing
43,Target,health
44,LEAHI HEALTH MANOA,grocery
45,Sam's Club #6410,food
46,GAP OUTLET,clothing
47,SAFEWAY,food
48,SAFEWAY,grocery
49,Walmart,grocery
50,WALTER,health
51,Krispy Kreme,food
52,Whole Foods Market,grocery
53,Dunkin,grocery
54,Olive,grocery
55,SAFEWAY,food
56,COSTCO WHOLESALE,grocery
57,Longs Drugs,electronics
58,Dunkin',food
59,Longs,entertainment
60,Hardware Hawaii,home
61,Kozo Sushi,food
62,KAHEKA STORE,clothing
63,WHOLE FOODS,grocery
64,Panda Express #1866,food
65,Walmart,grocery
66,McDonald's Restaurant,food
67,CVS Drugs,grocery
68,McDonald's Restaurant,food
69,Oahu Honolulu Ala Moana,grocery
70,SAFEWAY,grocery
71,Honolulu Intl Airport 0169,health
72,Taco Bell 001281,food
73,KAHEKA STORE,food
74,McDonald's Restaurant #14616,food
75,Store L,home
76,Ralphs,food
77,COSTCO,grocery
78,KAHEKA STORE,grocery
79,PACSUN,clothing
80,Longs Drugs,health
81,H MART,food
82,Grove Music,clothing
83,Taco Bell 002491,food
84,Longs,clothing
85,Walmart,grocery
86,Wet'N'Wild Hawaii,entertainment
87,Oahu Honolulu Ala Moana,clothing
88,COSTCO,grocery
89,COSTCO,grocery
90,Sam's Club,grocery
91,KAHEKA STORE,grocery
92,KAHEKA STORE,grocery
93,WHOLE FOODS,grocery
94,Sam's Club,food
95,"See's Candies, Inc",grocery
96,Dunkin',food
97,SAFEWAY,grocery
98,Walmart,clothing
99,Target,clothing
100,UNITED STATES POSTAL SERVICE,health
101,Foodland,grocery
102,Foodland,grocery
103,ABC STORES,health
104,Raising CHICKEN Hawaii Kai Town Center,grocery
105,Walmart,grocery
106,COSTCO,grocery
107,Wal-Mart,food
108,Baskin Robbins,grocery
109,SAFEWAY,grocery
110,Panda Express #2150,food
111,University of Hawaii - Manoa Bookstore,health
112,H MART,grocery
113,How doers,health
114,SAFEWAY,grocery
115,Whole Foods Market,food
116,SAFEWAY,food
117,The Counter,food
118,See's Candies,grocery
119,T.J.MAXX,health
120,SAFEWAY,grocery
121,SAFEWAY,grocery
122,KOZO SUSHI MOILIILI,food
123,Walmart,grocery
124,KAHEKA STORE,grocery
125,Whole Foods Market,grocery
126,Kozo Sushi,food
127,Honolulu Store,grocery
128,Target,grocery
129,WHOLE FOODS,grocery
130,KAHEKA STORE,grocery
131,T&C Surf Designs Ala Moana,clothing
132,Taste Tea,grocery
133,McDonald's Restaurant,food
